# r_neighbor 0.27 n_iter 50000 stress 0.0483762712735 correlation 0.826389920692 seed 144453
-1.61903,-0.36862
-1.61883,-0.35015
-1.70405,-0.38052
-1.67164,-0.40649
-1.67384,-0.44694
-1.70314,-0.40288
-1.55703,-0.35823
-1.58841,-0.37387
-1.67121,-0.35069
-1.63430,-0.34475
-1.58404,-0.41703
-1.63105,-0.46524
-1.59848,-0.50645
-1.65940,-0.47561
-1.58344,-0.50442
-1.58177,-0.46113
-1.56362,-0.52716
-1.64537,-0.41965
-1.56852,-0.48695
-1.59613,-0.46755
-1.60740,-0.49869
-1.56342,-0.43527
-1.58784,-0.47873
-1.61511,-0.46485
-1.60781,-0.49266
-1.58035,-0.44797
-1.58148,-0.46121
-1.57891,-0.51062
-1.60719,-0.51375
-1.58910,-0.44229
-1.59598,-0.41889
-1.60077,-0.51363
-1.56278,-0.47453
-1.55704,-0.40772
-1.57041,-0.46256
-1.70023,-0.46668
-1.57114,-0.52110
-1.58040,-0.50865
-1.59455,-0.51696
-1.44777,-0.58567
-1.47086,-0.59137
-1.40990,-0.64997
-1.59118,-0.49198
-1.58334,-0.43628
-1.60760,-0.53149
-1.60503,-0.42158
-1.58135,-0.46632
-1.55552,-0.47536
-1.56760,-0.48322
-1.56364,-0.46047
-1.35012,-0.45932
-1.68188,-0.44178
-1.60583,-0.39834
-1.57387,-0.46313
-1.58070,-0.41110
-1.61851,-0.41872
-1.65824,-0.41956
-1.62997,-0.44432
-1.56496,-0.42389
-1.57264,-0.48475
-1.59843,-0.49295
-1.63287,-0.43896
-1.63409,-0.41513
-1.59595,-0.51095
-1.63898,-0.47687
-1.59981,-0.50497
-1.64093,-0.51342
-1.69306,-0.47807
-1.64492,-0.47965
-1.61035,-0.49913
-1.62849,-0.47707
-1.61718,-0.47263
-1.62118,-0.45466
-1.61659,-0.39171
-1.66143,-0.40450
-1.62427,-0.41309
-1.63088,-0.39494
-1.58563,-0.43280
-1.61103,-0.44311
-1.59878,-0.46366
-1.58495,-0.43982
-1.60394,-0.42700
-1.58355,-0.44573
-1.62212,-0.44448
-1.59968,-0.43177
-1.64136,-0.40984
-1.60686,-0.44574
-1.56885,-0.43539
-1.58079,-0.48505
-1.58612,-0.42307
-1.59191,-0.42926
-1.59732,-0.46685
-1.54084,-0.51308
-1.55095,-0.45853
-1.58143,-0.42304
-1.58810,-0.47319
-1.57374,-0.47143
-1.59902,-0.45038
-1.60353,-0.51402
-1.59942,-0.49691
-1.60707,-0.42948
-1.60639,-0.51606
-1.59939,-0.51926
-1.62575,-0.50620
-1.58989,-0.49854
-1.61135,-0.50788
-1.68358,-0.40914
-1.50747,-0.56425
-1.48541,-0.57400
-1.70871,-0.42253
-1.53368,-0.28697
-1.62959,-0.36073
-1.71214,-0.41200
-1.65815,-0.46188
-1.65687,-0.47314
-1.68297,-0.45650
-1.52056,-0.58974
-1.60150,-0.46704
-1.53213,-0.45673
-1.53558,-0.52528
-1.49104,-0.43011
-1.54188,-0.50170
-1.52503,-0.38480
-1.54117,-0.39210
-1.54435,-0.46369
-1.60210,-0.53917
-1.63680,-0.38008
-1.59593,-0.38981
-1.61157,-0.40740
-1.63958,-0.43499
-1.66775,-0.46551
-1.60189,-0.50367
-1.53138,-0.54256
-1.56384,-0.51164
-1.57209,-0.51379
-1.47815,-0.43329
-1.63969,-0.41184
-1.63786,-0.46762
-1.61866,-0.47283
-1.60552,-0.42896
-1.59524,-0.42028
-1.59311,-0.40292
-1.59326,-0.43720
-1.55724,-0.41583
-1.49023,-0.48047
-1.46376,-0.46567
-1.44259,-0.53291
-1.39945,-0.52010
-1.45264,-0.55014
-1.49111,-0.57574
-1.44780,-0.58236
-1.39000,-0.49792
-1.44474,-0.51781
-1.37006,-0.40062
-1.37338,-0.51435
-1.39175,-0.49432
-1.36416,-0.50686
-1.29304,-0.49516
-1.57266,-0.56834
-1.32337,-0.44050
-1.38624,-0.49511
-1.44373,-0.56821
-1.41286,-0.57254
-1.41321,-0.56359
-1.41895,-0.56350
-1.36707,-0.47897
-1.40444,-0.51335
-1.41131,-0.55800
-1.47476,-0.54829
-1.44676,-0.53658
-1.44883,-0.36263
-1.45142,-0.37908
-1.25492,-0.51391
-1.29188,-0.48903
-1.48822,-0.50822
-1.32171,-0.46588
-1.35504,-0.38150
-1.36504,-0.49819
-1.37419,-0.35738
-1.32827,-0.45603
-1.34003,-0.46086
-1.31565,-0.56792
-1.32424,-0.47404
-1.33905,-0.50800
