run,rc,stress,correlation
1.0,0.1,0.00189606351794,0.47786044979
2.0,0.1,0.00196946152184,0.439343176663
3.0,0.1,0.00178576888165,0.453289917933
4.0,0.1,0.00180150118385,0.46372357315
5.0,0.1,0.00167911768278,0.47953423364
1.0,0.11,0.00246916727786,0.514043309367
2.0,0.11,0.00226958272806,0.57426497099
3.0,0.11,0.00244843976619,0.510471312637
4.0,0.11,0.00220193375238,0.501612591462
5.0,0.11,0.00248143106879,0.477897593338
1.0,0.12,0.00234347572187,0.581969571101
2.0,0.12,0.00280929201598,0.568040652618
3.0,0.12,0.00313120511214,0.56525023874
4.0,0.12,0.00296326046025,0.498034631713
5.0,0.12,0.00344979203908,0.52206847776
1.0,0.13,0.00348085162703,0.577083657398
2.0,0.13,0.00337976752414,0.586967705163
3.0,0.13,0.00289357840276,0.609349084042
4.0,0.13,0.00353169357401,0.630390015013
5.0,0.13,0.00411689211843,0.534345359372
1.0,0.14,0.00312063582773,0.607346006125
2.0,0.14,0.00406114179263,0.617436619354
3.0,0.14,0.00369236803046,0.609839386176
4.0,0.14,0.00395791791867,0.648359705471
5.0,0.14,0.00390054093785,0.617359134175
1.0,0.15,0.00462308268046,0.681523559526
2.0,0.15,0.00408554235685,0.68735834116
3.0,0.15,0.00381183626534,0.675097723878
4.0,0.15,0.00457629840168,0.690629069525
5.0,0.15,0.00434721654094,0.681087997455
1.0,0.16,0.00513674663273,0.708729014638
2.0,0.16,0.00511734106344,0.723816669473
3.0,0.16,0.00513390229409,0.691210322874
4.0,0.16,0.00529119529612,0.725683230705
5.0,0.16,0.0061691749181,0.819212747658
1.0,0.17,0.0069783751203,0.673399410287
2.0,0.17,0.0065521123053,0.726220780405
3.0,0.17,0.00775140776365,0.623095385791
4.0,0.17,0.00680316358875,0.736151814559
5.0,0.17,0.00597982433687,0.686371539981
1.0,0.18,0.00935042908782,0.705139159493
2.0,0.18,0.00828352917812,0.743726611446
3.0,0.18,0.00907751117395,0.733082271488
4.0,0.18,0.00885903377883,0.707406627501
5.0,0.18,0.00782286954367,0.717582938419
1.0,0.19,0.0109157478746,0.715539494425
2.0,0.19,0.011584804083,0.726408939971
3.0,0.19,0.0118175359639,0.720811749933
4.0,0.19,0.00943313034655,0.746589186725
5.0,0.19,0.0113512728066,0.764977612202
1.0,0.2,0.0133885659553,0.757600996452
2.0,0.2,0.0140335477809,0.795436249613
3.0,0.2,0.0121271386277,0.74313868883
4.0,0.2,0.0124211203224,0.747549525028
5.0,0.2,0.0148267563228,0.767748761801
1.0,0.21,0.0180666818303,0.714710278922
2.0,0.21,0.0186109557716,0.755912946597
3.0,0.21,0.0175977369356,0.785454314687
4.0,0.21,0.0183654100312,0.746827900918
5.0,0.21,0.0173142418885,0.74439788763
1.0,0.22,0.0256448947903,0.779915627105
2.0,0.22,0.0212472965771,0.789340947381
3.0,0.22,0.0222192438295,0.785449413453
4.0,0.22,0.0218928934647,0.799313422581
5.0,0.22,0.0216729605484,0.757678879571
1.0,0.23,0.027277346162,0.790813011453
2.0,0.23,0.0271399171595,0.795172127122
3.0,0.23,0.0293405289022,0.824647744234
4.0,0.23,0.0308584135222,0.772406364108
5.0,0.23,0.02887868319,0.798193718766
1.0,0.24,0.038110625676,0.794823975529
2.0,0.24,0.0346990700696,0.817197376797
3.0,0.24,0.0328981698219,0.821714666385
4.0,0.24,0.0350755584641,0.820698461748
5.0,0.24,0.0353995950371,0.823326540486
1.0,0.25,0.0400856325002,0.815855363561
2.0,0.25,0.0374679237134,0.81844267625
3.0,0.25,0.0386885334447,0.840756244614
4.0,0.25,0.0403007283845,0.817249830771
5.0,0.25,0.0373808573421,0.808459876075
1.0,0.26,0.0446312147704,0.823733874029
2.0,0.26,0.0460796874375,0.828757495286
3.0,0.26,0.0458698423295,0.827616005872
