run,r_neighbor,n_iter,stress,correlation
1.0,0.1,5000.0,0.0021679042048,0.45779896389
2.0,0.1,5000.0,0.00211434976581,0.496566425344
3.0,0.1,5000.0,0.00185480340258,0.437541337512
4.0,0.1,5000.0,0.00201996083818,0.48140469378
5.0,0.1,5000.0,0.00232437928478,0.461918489805
1.0,0.11,5000.0,0.00143041418254,0.506291242295
2.0,0.11,5000.0,0.00284507888003,0.518179486312
3.0,0.11,5000.0,0.00269310404896,0.516954375356
4.0,0.11,5000.0,0.00327116220643,0.492752135008
5.0,0.11,5000.0,0.00209125975638,0.517619913996
1.0,0.12,5000.0,0.00244955662779,0.590587607598
2.0,0.12,5000.0,0.00325228367439,0.474438532461
3.0,0.12,5000.0,0.00290768324739,0.545431972208
4.0,0.12,5000.0,0.00304541554361,0.491725092667
5.0,0.12,5000.0,0.00334252995518,0.582372289857
1.0,0.13,5000.0,0.00373222775149,0.565673352983
2.0,0.13,5000.0,0.00216705304358,0.568297547595
3.0,0.13,5000.0,0.00304997101502,0.628097447829
4.0,0.13,5000.0,0.0029134075602,0.536848749432
5.0,0.13,5000.0,0.00350958595455,0.610495133122
1.0,0.14,5000.0,0.00396354472365,0.619097390927
2.0,0.14,5000.0,0.00316878539109,0.6367651181
3.0,0.14,5000.0,0.00383578021854,0.675803492695
4.0,0.14,5000.0,0.00370393956961,0.691268096327
5.0,0.14,5000.0,0.00305233772897,0.599437678204
1.0,0.15,5000.0,0.00516044493393,0.647150106526
2.0,0.15,5000.0,0.00378786737462,0.670033188921
3.0,0.15,5000.0,0.00490795627495,0.598294654819
4.0,0.15,5000.0,0.00331468981978,0.669693988345
5.0,0.15,5000.0,0.00438509843947,0.685665412795
1.0,0.16,5000.0,0.00573724937587,0.676746609202
2.0,0.16,5000.0,0.00490001074879,0.684848086289
3.0,0.16,5000.0,0.0061206491722,0.688875428922
4.0,0.16,5000.0,0.00510870752336,0.762901332434
5.0,0.16,5000.0,0.00601609261997,0.743964286853
1.0,0.17,5000.0,0.00593834934829,0.690402829496
2.0,0.17,5000.0,0.00595809142053,0.724773363861
3.0,0.17,5000.0,0.00513994921844,0.733390185466
4.0,0.17,5000.0,0.00785381490298,0.721852900052
5.0,0.17,5000.0,0.00671580908378,0.670600803836
1.0,0.18,5000.0,0.00872675201189,0.683914994456
2.0,0.18,5000.0,0.00876859649353,0.775524762391
3.0,0.18,5000.0,0.00902780022289,0.744489350408
4.0,0.18,5000.0,0.00666716617426,0.750713977822
5.0,0.18,5000.0,0.00785869665669,0.73552635734
1.0,0.19,5000.0,0.0105086552108,0.766032322424
2.0,0.19,5000.0,0.0113084599265,0.789766194047
3.0,0.19,5000.0,0.0119766640593,0.733368909116
4.0,0.19,5000.0,0.0123000260484,0.74494885203
5.0,0.19,5000.0,0.010584387379,0.753167410282
1.0,0.2,5000.0,0.0126502346199,0.770838316217
2.0,0.2,5000.0,0.0114185360174,0.771084968139
3.0,0.2,5000.0,0.015051725767,0.745693597571
4.0,0.2,5000.0,0.0130795518547,0.749519721725
5.0,0.2,5000.0,0.0136048402781,0.722155997691
1.0,0.21,5000.0,0.0169083272555,0.788512913132
2.0,0.21,5000.0,0.019966881318,0.802441076151
3.0,0.21,5000.0,0.0202813963456,0.731547592924
4.0,0.21,5000.0,0.0187953564071,0.772293134016
5.0,0.21,5000.0,0.0210099373496,0.812001169797
1.0,0.22,5000.0,0.0248199517971,0.79205542379
2.0,0.22,5000.0,0.0225619733281,0.731312904396
